ALERT,SAR,kycRiskScore,income,tenureMonths,creditScore,state,nbrPurchases90d,avgTxnSize90d,totalSpend90d,csrNotes,nbrDistinctMerch90d,nbrMerchCredits90d,nbrMerchCreditsRndDollarAmt90d,totalMerchCred90d,nbrMerchCreditsWoOffsettingPurch,nbrPayments90d,totalPaymentAmt90d,overpaymentAmt90d,overpaymentInd90d,nbrCustReqRefunds90d,indCustReqRefund90d,totalRefundsToCust90d,nbrPaymentsCashLike90d,maxRevolveLine,indOwnsHome,nbrInquiries1y,nbrCollections3y,nbrWebLogins90d,nbrPointRed90d,PEP
1,1,1,109100,39,667,MA,180,409.43,73697.4,customer call password change card replace moneyorder payment,85,12,3,4958.13,5,2,73697.4,0,0,1,1,50.72,2,14000,1,5,0,8,3,0
1,0,1,3600,1,731,MA,0,9.07,0,card replace plastic replace transfer,0,0,0,0,0,8,60,60,1,1,1,60,0,11000,1,1,0,8,1,0
1,0,1,13100,47,737,NY,6,79.65,477.9,statement transfer   statement,0,0,0,0,0,4,477.9,0,0,1,1,25.12,0,11000,0,1,0,11,1,0
1,0,2,21400,38,749,VT,12,96.39,1156.68, ,6,1,0,95,0,3,60,0,0,1,1,54.35,0,20000,1,4,0,7,3,0
1,0,4,63600,7,702,VT,10,189.42,1894.2, ,7,1,0,188.27,0,6,1894.2,0,0,1,1,38.36,4,10000,1,2,0,90,2,0
1,1,1,152400,24,703,CT,111,861.76,95655.36,password change card replace password change withdraw limit,55,17,2,14664.15,11,4,95655.36,0,0,1,1,34.22,4,12000,1,4,0,8,2,0
1,0,2,29900,23,709,CT,5,88.12,440.6,change request password change late payment statement,3,0,0,0,0,3,440.6,0,0,1,1,49.24,0,11000,1,3,0,4,0,0
1,0,1,10300,44,748,NY,5,54.78,273.9, ,3,0,0,0,0,4,2724.4,2450.5,1,2,1,2500.92,4,18000,1,2,0,3,1,0
1,0,0,64500,53,780,MA,7,119.6,837.2, ,6,0,0,0,0,3,837.2,0,0,1,1,54.91,0,13000,1,2,1,8,0,0
1,0,2,61700,24,671,RI,47,310.27,14582.69, ,18,4,1,1225.17,2,8,14582.69,0,0,1,1,21.05,8,19000,0,2,0,4,0,0
1,0,4,57800,10,673,CT,10,39.89,398.9, ,6,2,1,85.92,0,4,398.9,0,0,1,1,70.45,0,15000,1,1,0,7,2,0
1,0,2,28000,14,761,NY,4,46.62,186.48,card replace late payment   statement,3,0,0,0,0,2,186.48,0,0,1,1,53.97,0,11000,0,2,0,4,0,0
1,1,5,33000,52,731,CT,8,2.28,18.24, ,7,0,0,0,0,4,60,41.76,1,4,1,151.59,0,11000,1,3,0,6,1,0
1,0,1,26700,13,695,MA,13,73.15,950.95,billing address plastic replace  ,5,1,0,73.63,0,3,950.95,0,0,1,1,34.87,0,17000,1,2,0,2,2,0
1,0,2,64100,5,692,NY,25,209.58,5239.5,customer call billing address   overseas atm,10,4,0,835.36,2,5,5239.5,0,0,1,1,69.75,5,17000,0,3,0,7,1,0
1,0,0,67600,10,773,CT,3,66.08,198.24,billing address late payment late payment,1,1,0,65.65,0,3,60,0,0,1,1,60.07,0,10000,1,3,0,8,0,0
1,0,2,78500,24,696,MA,36,158.07,5690.52,statement change request card replace,20,2,1,294.82,1,5,284.53,0,0,1,1,39.06,5,14000,1,4,0,4,0,0
1,0,1,86900,24,724,MA,82,87.68,7189.76,statement plastic replace transfer,47,5,1,423.28,4,3,7189.76,0,0,1,1,35.78,3,13000,1,4,0,16,1,0
1,0,0,18900,2,691,RI,7,32.8,229.6, ,4,0,0,0,0,3,60,0,0,1,1,16.46,0,7000,1,4,0,7,1,0
1,0,1,36200,6,725,NY,1,460.62,460.62, ,0,0,0,0,0,2,3249.51,2788.89,1,1,1,2821.35,2,15000,1,1,0,3,1,0
1,0,3,15000,74,769,RI,1,407.79,407.79, ,1,1,0,410.94,0,4,407.79,0,0,1,1,3.15,4,13000,1,5,0,7,3,0
1,0,1,13200,4,800,MA,15,28.14,422.1, ,7,2,0,54.94,1,4,60,0,0,1,1,61.61,1,9000,0,4,0,6,1,0
1,1,0,108000,42,691,NJ,40,247.31,9892.4,billing address change request billing address atm denied,19,7,1,1746.48,4,2,494.62,0,0,1,1,49.83,2,18000,0,1,1,6,1,0
1,0,3,14600,19,742,ME,2,125.75,251.5, ,1,0,0,0,0,4,251.5,0,0,1,1,56.96,0,11000,0,4,0,8,3,0
1,0,2,122400,4,800,MA,40,76.6,3064,late payment transfer late payment,21,1,0,75.98,1,4,153.2,0,0,1,1,24.23,0,14000,0,1,0,6,2,0
1,0,2,57700,24,696,ME,6,169.67,1018.02, ,1,0,0,0,0,2,1018.02,0,0,1,1,70.09,0,9000,0,3,0,6,1,0
1,0,1,145300,19,680,MA,13,29.26,380.38, ,6,3,1,80.1,1,6,380.38,0,0,1,1,33.98,1,10000,1,4,1,8,0,0
1,0,0,0,5,753,ME,0,347.37,0, ,0,0,0,0,0,4,60,60,1,1,1,60,0,8000,1,2,0,8,1,0
1,0,1,5300,65,672,RI,5,22.85,114.25, ,3,0,0,0,0,8,114.25,0,0,1,1,51.7,0,7000,1,3,0,9,0,0
1,0,1,15800,38,769,NY,10,121.42,1214.2,customer call transfer transfer,3,1,1,130,0,3,1214.2,0,0,1,1,84.17,1,10000,0,5,0,5,1,0
1,0,1,47200,2,717,NJ,13,54.3,705.9,transfer password change  ,7,1,0,53.73,1,2,945.77,239.87,1,1,1,294.2,1,8000,1,1,0,6,2,0
1,1,1,88000,12,660,NY,13,1133.45,14734.85, ,3,1,0,1137,0,6,23346.64,8611.79,1,1,1,8686.27,6,16000,0,3,0,1,1,0
1,0,1,9800,17,712,ME,6,355.52,2133.12,card replace customer call customer call cash,4,2,0,708.54,1,6,2066.24,0,0,1,1,38.2,6,9000,1,2,0,7,0,0
1,0,1,23200,12,683,CT,6,45.54,273.24, ,2,0,0,0,0,2,60,0,0,1,1,47.04,0,14000,1,5,0,5,2,0
1,0,2,29400,20,626,NY,6,149.05,894.3,statement change request customer call statement,2,0,0,0,0,2,894.3,0,0,1,1,53.33,0,12000,1,3,1,6,1,0
1,0,2,0,15,701,ME,0,0,0, ,0,0,0,0,0,7,60,60,1,1,1,60,0,6000,0,4,0,8,2,0
1,0,3,55100,6,709,MA,65,0,0,statement late payment customer call,33,1,1,0,0,6,60,60,1,3,1,60,0,17000,1,4,0,9,1,0
1,0,1,1600,30,700,ME,0,23.38,0,transfer card replace transfer,0,0,0,0,0,2,60,60,1,2,1,60,0,19000,0,5,0,5,0,0
1,0,1,29800,9,733,MA,3,27.16,81.48, ,0,0,0,0,0,4,60,0,0,1,1,48.95,0,8000,0,2,0,11,1,0
1,0,1,41400,58,746,NY,40,95.55,3822,change request plastic replace customer call,20,4,1,401.29,2,5,3822,0,0,1,1,41.7,5,20000,1,4,0,7,3,0
1,0,0,76200,8,708,NJ,114,42.56,4851.84,    statement,50,5,1,222.56,2,2,4851.84,0,0,1,1,102.53,2,15000,1,5,0,8,1,0
1,0,1,29300,6,716,CT,31,144.72,4486.32,late payment plastic replace late payment cash,11,3,0,433.89,3,3,7391.49,2905.17,1,3,1,2958.48,3,10000,1,1,0,5,2,0
1,0,2,53700,39,703,ME,17,72.84,1238.28,change request customer call change request,9,1,0,72.64,0,3,1238.28,0,0,1,1,33.96,0,10000,1,6,0,9,0,0
1,0,1,29700,16,679,CT,23,21.53,495.19,billing address card replace statement,12,4,0,84.16,1,4,495.19,0,0,1,1,34.56,1,15000,1,1,0,5,0,0
1,0,1,115600,24,703,RI,10,67.2,672, ,8,1,0,66.32,1,3,672,0,0,1,1,52.75,0,14000,1,4,1,6,0,0
1,0,0,13600,17,706,MA,0,131.23,0,card replace billing address card replace,0,0,0,0,0,5,60,60,1,1,1,60,0,8000,1,3,0,6,3,0
1,0,3,113100,27,701,CT,35,270.99,9484.65,  password change transfer,17,2,0,539.18,0,3,9484.65,0,0,1,1,81.01,3,17000,1,1,0,7,0,0
1,0,3,34200,1,701,MA,0,327.07,0, ,0,0,0,0,0,4,60,60,1,1,1,60,0,14000,1,2,0,5,2,0
1,0,1,23000,11,710,MA,35,0,0,statement late payment late payment,21,8,1,0,0,3,60,60,1,2,1,60,0,16000,0,1,0,5,0,0
1,0,1,33300,12,653,PA,10,8.92,89.2, ,5,2,0,17.54,0,4,89.2,0,0,1,1,47.8,0,10000,0,0,1,6,0,0
1,0,0,113500,132,764,NJ,30,73.58,2207.4,transfer billing address change request atm limit,12,3,0,219.12,2,2,4920.41,2713.01,1,1,1,2771.58,2,7000,1,5,0,6,1,0
1,0,1,24600,17,712,NY,0,43.4,0,card replace statement customer call,0,0,0,0,0,4,60,60,1,1,1,60,0,9000,0,6,1,9,1,0
1,0,1,9700,1,742,PA,1,7.12,7.12,plastic replace card replace  ,1,0,0,0,0,3,60,52.88,1,1,1,134.61,0,8000,1,9,0,11,3,0
1,0,2,76900,65,756,CT,34,8.48,288.32,late payment customer call change request,19,4,1,32.75,2,6,288.32,0,0,1,1,36.49,1,10000,1,0,0,8,2,0
1,0,2,68600,27,694,NJ,5,17.44,87.2,transfer transfer card replace statement,2,0,0,0,0,2,87.2,0,0,1,1,52.45,0,14000,1,2,0,3,0,0
1,0,2,53900,17,756,MA,85,117.91,10022.35,statement transfer transfer overseas atm,44,8,2,965.56,5,6,501.12,0,0,1,1,51.88,6,9000,1,2,0,8,2,0
1,0,1,52200,1,726,NY,7,205.39,1437.73,late payment plastic replace late payment statement,4,0,0,0,0,3,1437.73,0,0,1,1,54.32,0,11000,0,2,0,6,0,0
1,1,0,101100,6,732,MA,37,282.56,10454.72,"late payment   transfer lost cardrefund requested. supply additional details, call back",18,6,3,1650,2,3,522.74,0,0,1,1,46.64,3,14000,1,4,0,7,0,0
1,0,1,5000,5,716,NY,1,33.33,33.33,password change   late payment,1,0,0,0,0,4,60,26.67,1,1,1,59.63,0,7000,0,2,0,8,1,0
1,0,2,25700,13,741,ME,13,290.37,3774.81,statement customer call statement,6,1,1,296,0,3,3774.81,0,0,1,1,32.77,3,7000,0,2,0,7,1,0
1,0,1,88800,13,695,MA,15,192.29,2884.35,password change late payment transfer,8,1,1,215,0,4,2884.35,0,0,1,1,15.66,2,14000,1,5,1,5,0,0
1,0,1,37900,12,757,CT,25,111.95,2798.75, ,14,3,0,341.43,1,2,2798.75,0,0,1,1,33.69,2,13000,1,4,0,6,1,0
1,0,3,24600,12,682,NY,4,68.39,273.56, ,2,0,0,0,0,5,273.56,0,0,1,1,59.03,0,7000,1,3,0,10,0,0
1,1,2,86000,15,705,NY,44,366.38,16120.72,  statement   atm denied,22,6,0,2199.48,3,5,16120.72,0,0,1,1,35.54,5,8000,1,1,0,6,2,0
1,0,2,102800,15,695,MA,17,80.76,1372.92,billing address transfer late payment,9,1,0,81.27,0,2,1372.92,0,0,1,1,23.96,0,14000,0,4,0,9,0,0
